_id,title,duration,amount,createdAt,updatedAt,__v
66e1b6d442a23f4ad1e2a215,CERTIFIED ETHICAL HACKING (CEH),7,550000,2024-09-11T15:27:16.135Z,2024-09-11T15:27:16.135Z,0
66e7237d718b286147ac2ec6,Digital Marketing,3,250000,2024-09-15T18:12:13.693Z,2024-09-15T18:12:13.693Z,0
66e723da718b286147ac2ed2,Graphic and Multimedia,3,120000,2024-09-15T18:13:46.385Z,2024-09-15T18:13:46.385Z,0
66e72427718b286147ac2ede,CCNA,4,200000,2024-09-15T18:15:03.281Z,2024-09-15T18:15:03.281Z,0
66e724aa718b286147ac2ef6,Ms Power BI,2,120000,2024-09-15T18:17:14.724Z,2024-09-15T18:17:14.724Z,0
672153aa718b286147ad3d6f,UI/UX Design,3,350000,2024-10-29T21:29:14.239Z,2024-10-29T21:29:14.239Z,0
67215411718b286147ad3d75,ADVANCED EXCEL,2,100000,2024-10-29T21:30:57.106Z,2024-10-29T21:30:57.106Z,0
6771de734fad51372c017959,ORACLE,3,400000,2024-12-29T23:42:43.730Z,2024-12-29T23:42:43.730Z,0
67a3cb8d798331f9250f9b02,MIS & SOFT SKILLS,5,490000,2025-02-05T20:35:25.312Z,2025-02-05T20:35:25.312Z,0
66e0ba1042a23f4ad1e29924,Cross Platform App Development,4,326000,2024-09-10T21:28:48.899Z,2024-09-11T09:21:17.985Z,0
66e0bbfb42a23f4ad1e29948,Responsive Web Development,3,200000,2024-09-10T21:36:59.039Z,2024-09-11T09:22:05.685Z,0
66e4216142a23f4ad1e2a642,Web Development with Python,5,300000,2024-09-13T11:26:25.864Z,2024-09-13T11:26:25.864Z,0
66e433c4718b286147ac2d5a,Diploma in Information System Management (DISM),12,1114000,2024-09-13T12:44:52.982Z,2024-09-13T12:44:52.982Z,0
66e4b8ac718b286147ac2e10,Microsoft Office Power User (MOPU),3,50000,2024-09-13T22:11:56.285Z,2024-09-13T22:11:56.285Z,0
66e4beeb718b286147ac2e16,Video/Audio editing,2,100000,2024-09-13T22:38:35.536Z,2024-09-13T22:38:35.536Z,0
66e724c2718b286147ac2efc,Sage50,2,100000,2024-09-15T18:17:38.228Z,2024-09-15T18:17:38.228Z,0
66e724e2718b286147ac2f02,AWS (CCP),4,350000,2024-09-15T18:18:10.324Z,2024-09-15T18:18:10.324Z,0
66e72571718b286147ac2f0e,Certificate of Proficiency in Information System Management (CPISM),7,625000,2024-09-15T18:20:33.925Z,2024-09-15T18:20:33.925Z,0
66e72617718b286147ac2f26,Full Stack MERN Development,7,715000,2024-09-15T18:23:19.870Z,2024-09-15T18:23:19.870Z,0
67488496c5d59d7362ebb696,AUTO CAD,2,70000,2024-11-28T14:56:22.218Z,2024-11-28T14:56:22.218Z,0
6748853fc5d59d7362ebb6b2,COMPTIA +,5,250000,2024-11-28T14:59:11.592Z,2024-11-28T14:59:11.592Z,0
6748858ac5d59d7362ebb72d,Routing Tech,2,150000,2024-11-28T15:00:26.316Z,2024-11-28T15:00:26.316Z,0
6751c15bc5d59d7362ec3d73,PYTHON WEB APPLICATION DEVELOPMENT,8,558000,2024-12-05T15:06:03.846Z,2024-12-05T15:06:03.846Z,0
66e0b91542a23f4ad1e29909,ADVANCED DIPLOMA IN SOFTWARE ENGINEERING (ADSE),24,3500000,2024-09-10T21:24:37.934Z,2025-04-28T23:12:39.081Z,0
66e0bb5142a23f4ad1e2992d,Data Science,7,650000,2024-09-10T21:34:09.742Z,2024-09-11T09:21:26.724Z,0
66e4213742a23f4ad1e2a639,Web Development with PHP,4,200000,2024-09-13T11:25:43.520Z,2024-09-13T11:25:43.520Z,0
66e4218542a23f4ad1e2a651,Data Analytics,4,350000,2024-09-13T11:27:01.400Z,2024-09-13T11:27:01.400Z,0
66e4b7fb718b286147ac2e0a,HTML5,3,150000,2024-09-13T22:08:59.566Z,2024-09-13T22:08:59.566Z,0
66e723b5718b286147ac2ecc,"Graphic, Multimedia and Animation",4,200000,2024-09-15T18:13:09.447Z,2024-09-15T18:13:09.447Z,0
66e7248e718b286147ac2ef0,Forex and Crypto Currency,3,70000,2024-09-15T18:16:46.528Z,2024-09-15T18:16:46.528Z,0
66e72528718b286147ac2f08,SPSS,2,100000,2024-09-15T18:19:20.743Z,2024-09-15T18:19:20.743Z,0
66e725d5718b286147ac2f1a,Data Management with SQL Server,2,128000,2024-09-15T18:22:13.281Z,2024-09-15T18:22:13.281Z,0
66e7263c718b286147ac2f2c,Java Programming,3,256000,2024-09-15T18:23:56.002Z,2024-09-15T18:23:56.002Z,0
66e726a2718b286147ac2f37,Programming in C,2,150000,2024-09-15T18:25:38.639Z,2024-09-15T18:25:38.639Z,0
66e726c8718b286147ac2f3d,Programming in C++,2,158000,2024-09-15T18:26:16.711Z,2024-09-15T18:26:16.711Z,0
6749bdc6c5d59d7362ebe773,Web Design,2,120000,2024-11-29T13:12:38.265Z,2024-11-29T13:12:38.265Z,0
6751c518c5d59d7362ec3fd7,Network Administration,7,294000,2024-12-05T15:22:00.243Z,2024-12-05T15:22:00.243Z,0
6751c615c5d59d7362ec4081,FOUNDATION IN DATA SCIENCE,7,516000,2024-12-05T15:26:13.521Z,2024-12-05T15:26:13.521Z,0
66e0b95142a23f4ad1e29912,Aptech Certified Network Engineer,24,1500000,2024-09-10T21:25:37.871Z,2025-03-12T10:10:18.830Z,0
66e0bc5142a23f4ad1e2995a,Programming with Python,3,185000,2024-09-10T21:38:25.549Z,2024-09-11T09:22:28.584Z,0
66e72407718b286147ac2ed8,Graphic,2,70000,2024-09-15T18:14:31.647Z,2024-09-15T18:14:31.647Z,0
66e72447718b286147ac2ee4,CCNP,4,350000,2024-09-15T18:15:35.474Z,2024-09-15T18:15:35.474Z,0
66e72468718b286147ac2eea,WordPress,4,200000,2024-09-15T18:16:08.463Z,2024-09-15T18:16:08.463Z,0
66e725f8718b286147ac2f20,Programming in C#,2,146000,2024-09-15T18:22:48.365Z,2024-09-15T18:22:48.365Z,0
66e7272e718b286147ac2f43,R Programming,2,155000,2024-09-15T18:27:58.166Z,2024-09-15T18:27:58.166Z,0
6749b84cc5d59d7362ebe4c9,Cyber Security Fundamentals,2,150000,2024-11-29T12:49:16.636Z,2024-11-29T12:49:16.636Z,0
6751bfbcc5d59d7362ec3bcf,OFFICE AUTOMATION,2,150000,2024-12-05T14:59:08.708Z,2024-12-05T14:59:08.708Z,0
6751c058c5d59d7362ec3cc2,JAPA- CYBERSECURITY & DIGITAL FORENSICS,12,2500000,2024-12-05T15:01:44.249Z,2024-12-05T15:01:44.249Z,0
67aca18bb1b0b1ade7c7bef4,DATA VISUALIZATION-Power BI,4,340000,2025-02-12T13:26:35.082Z,2025-02-12T13:26:35.082Z,0
6821d041351cefa793a0ae5d,React,3,350000,2025-05-12T10:41:05.263Z,2025-05-12T10:41:05.263Z,0
68220f3f351cefa793a0bcb7,Software Project Management,2,200000,2025-05-12T15:09:51.302Z,2025-05-12T15:09:51.302Z,0
685000f9de9f9c66a2cafdf4,Web Industrial Training ,3,100000,2025-06-16T11:33:13.077Z,2025-06-16T11:33:13.077Z,0
6850012dde9f9c66a2cafdfa,CEH Industrial Training,4,200000,2025-06-16T11:34:05.843Z,2025-06-16T11:34:05.843Z,0
6850015dde9f9c66a2cafe00,Data Science Industrial Training,4,200000,2025-06-16T11:34:53.774Z,2025-06-16T11:34:53.774Z,0
6867e89dde9f9c66a2cbc1b9,AI/ML,6,650000,2025-07-04T14:43:41.393Z,2025-07-04T14:43:41.393Z,0
686a938cde9f9c66a2cbc4a4,Easy Coding (Summer Class),2,50000,2025-07-06T15:17:32.578Z,2025-07-06T15:17:32.578Z,0
